gate,cls_threshold,mask_threshold,idx_in_batch,gate_pass,num_keep,max_cls_prob,max_mask_prob,any_fg_pre_keep,any_fg_post_keep,image_forged_prob
-1.0,0.05,0.5,0,1,15,0.13017624616622925,1.0,1,1,0.6132941246032715
-1.0,0.05,0.5,1,1,15,0.20187990367412567,0.9999970197677612,1,1,0.4746875464916229
-1.0,0.05,0.5,2,1,0,0.02960633486509323,0.9987384676933289,1,0,0.18649335205554962
-1.0,0.05,0.5,3,1,0,0.020249104127287865,0.9998161196708679,1,0,0.01788431592285633
-1.0,0.05,0.5,0,1,15,0.16234630346298218,0.6322761178016663,1,1,0.6077231764793396
-1.0,0.05,0.5,1,1,0,0.01670863665640354,0.9998007416725159,1,0,0.022354379296302795
-1.0,0.05,0.5,2,1,0,0.004555194638669491,0.9999433755874634,1,0,0.010220779106020927
-1.0,0.05,0.5,3,1,15,0.1985761672258377,0.5243975520133972,1,1,0.6189447045326233
-1.0,0.05,0.5,0,1,0,0.01005573384463787,0.9984544515609741,1,0,0.02684764936566353
-1.0,0.05,0.5,1,1,0,0.036881301552057266,0.9999973773956299,1,0,0.08348371833562851
-1.0,0.05,0.5,2,1,0,0.0042936415411531925,0.9953315854072571,1,0,0.0019784029573202133
-1.0,0.05,0.5,3,1,0,0.004443008452653885,0.9999735355377197,1,0,0.0023117109667509794
-1.0,0.05,0.5,0,1,15,0.1331811547279358,0.9976930022239685,1,1,0.61778724193573
-1.0,0.05,0.5,1,1,0,0.027576126158237457,1.0,1,0,0.02123563550412655
-1.0,0.05,0.5,2,1,0,0.005806868430227041,0.9992708563804626,1,0,0.002911145566031337
-1.0,0.05,0.5,3,1,2,0.057448167353868484,0.9930002689361572,1,1,0.149187371134758
-1.0,0.05,0.5,0,1,15,0.19170673191547394,0.9999943971633911,1,1,0.6655784249305725
-1.0,0.05,0.5,1,1,0,0.04225073382258415,0.9498492479324341,1,0,0.1412273347377777
-1.0,0.05,0.5,2,1,15,0.17089393734931946,0.9999614953994751,1,1,0.5804767608642578
-1.0,0.05,0.5,3,1,0,0.034779392182826996,0.999998927116394,1,0,0.10198839753866196
-1.0,0.05,0.5,0,1,13,0.07987034320831299,0.9998936653137207,1,1,0.3730325996875763
-1.0,0.05,0.5,1,1,0,0.01341235637664795,0.9999996423721313,1,0,0.023577120155096054
-1.0,0.05,0.5,2,1,0,0.023448748514056206,0.9981949925422668,1,0,0.09631018340587616
-1.0,0.05,0.5,3,1,0,0.029959354549646378,0.9994257688522339,1,0,0.18246152997016907
-1.0,0.05,0.5,0,1,0,0.017695074900984764,0.9999896287918091,1,0,0.030521487817168236
-1.0,0.05,0.5,1,1,0,0.008836251683533192,0.9999563694000244,1,0,0.002647968241944909
-1.0,0.05,0.5,2,1,0,0.04401089623570442,0.9999831914901733,1,0,0.07999595999717712
-1.0,0.05,0.5,3,1,15,0.1430331915616989,1.0,1,1,0.6440261602401733
-1.0,0.05,0.5,0,1,0,0.03950425237417221,0.8333351016044617,1,0,0.08232531696557999
-1.0,0.05,0.5,1,1,0,0.04104938358068466,0.9772343635559082,1,0,0.09701117128133774
-1.0,0.05,0.5,2,1,0,0.01642744615674019,0.9999735355377197,1,0,0.04254721477627754
-1.0,0.05,0.5,3,1,15,0.15033173561096191,0.9999963045120239,1,1,0.5585513710975647
-1.0,0.05,0.5,0,1,0,0.004853424616158009,0.9996341466903687,1,0,0.003245932748541236
